,,,,,,,,,9.1,6.5,4,3.5,0.5,5.7,,0.22037,0.58558,-8.4,,9.6,5.1,4.2,2.5,1.75,5.7859,3.5605,1.6541,2025,2024,2023,2022,21/19/18/17,-7.4,1.5,1.25,1,0.75,0.5,,-1.06848,1.56055,-0.49364,2.40336,-0.99436,1.46856,0.08569,-4.5022,-3.49112,1.63943,-0.02901,7.73187,3.52565,0.34867,1.22251,2.94483,3.11106
,Year,,Value,,,,,Win%,Last year win %,2 year prior win %,3 year prior win %,4 year prior win %,5 year prior win %,Consecutive seasons above .500 (MAX 5),Above .500 seasons in past 5 years,Above .500 seasons in past 5 years squared,Mid Major above 500 years,Below .500 years as a power conference school past 5 years,5 Year average,March Games 1 year prior (include first four),March Games 2 year prior,March Games 3 year prior,March Games 4 year prior,March Games 5 year prior,Previous Year Conference Tournament Wins,2 Year Prior Conference Tournament Wins,3 Year Prior Conference Tournament Wins,"March Location (seeding, NIT, CIT, CBI, Missed) last year","March Location (seeding, NIT, CIT, CBI, Missed) 2 year","March Location (seeding, NIT, CIT, CBI, Missed) 3 year","March Location (seeding, NIT, CIT, CBI, Missed) 4 year","March Location (seeding, NIT, CIT, CBI, Missed) 5 year",Power Misses,,,,,,Coaching changes in past 5 seasons (prior to 21-22 season for 26),Coaching Changes in last 5 years squared,March Wins past 5 seasons (not including first four),March Losses past 5 seasons (Inc first 4),March wins ^1/2,March Losses ^1/2,Upsets Made in past 5 March appearances,Upsets Made in past 5 March appearances Squared,Times upset in past 5 March appearances,Times upset in past 5 March appearances Squared,Regular season champs in past 5,Independent School once in past 5 seasons,Power School (Min 1 year in past 5 seasons),Power AQs in past 5,Number of Draft picks in past 5 season,20 Win Season Past 5 Seasons,25 Win Season Past 5 Seasons,30 Win Season Past 5 Seasons
Buffalo,2026,7.081,7.081,,,,,1,0.29,0.129,0.469,0.633,0.64,0,2,4,2,0,0.4322,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,2026,4.101,4.101,,,,,0.8,0.429,0.545,0.438,0.424,0.4,0,1,1,0,4,0.4472,0,0,0,0,0,1,0,0,CBC,NIT,Missed,Missed,Missed,3,10.5,9,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BYU,2026,47.854,47.854,,,,,0.8,0.722,0.676,0.559,0.686,0.741,5,5,25,0,0,0.6768,3,1,0,0,1,1,1,2,Six Seed,Six Seed,Missed,NIT,Six Seed,1,11,11,-2,9,11,1,1,2,3,1.4142135623731,1.73205080756888,1,1,2,4,0,0,1,0,1,4,1,0
Cal Baptist,2026,16.932,16.932,,,,,1,0.531,0.485,0.515,0.529,0.565,1,4,16,4,0,0.525,0,0,0,0,0,1,1,1,Missed,Missed,Ineligible,Ineligible - CBI,Ineligible,0,-2,-2,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cal Poly,2026,11.762,11.762,,,,,0.5,0.457,0.125,0.242,0.25,0.167,0,0,0,0,0,0.2482,0,0,0,0,0,2,0,1,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cal St. Bakersfield,2026,8.446,8.446,,,,,0.4,0.424,0.406,0.333,0.321,0.577,0,1,1,1,0,0.4122,0,0,0,0,0,0,0,1,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cal St. Fullerton,2026,13.845,13.845,,,,,0.2,0.188,0.438,0.606,0.656,0.375,0,2,4,2,0,0.4526,0,0,0,1,0,0,0,2,Missed,Missed,Missed,Fifteen Seed,Missed,0,-2,-2,-2,8,-2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Cal St. Northridge,2026,15.796,15.796,,,,,0.6,0.667,0.559,0.219,0.233,0.409,2,2,4,2,0,0.4174,0,0,0,0,0,0,1,0,NIT,Missed,Missed,Missed,Missed,0,9,-2,-2,-2,-2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
California,2026,-19.144,-19.144,,,,,0.833333333333333,0.424,0.406,0.094,0.375,0.31,0,0,0,0,5,0.3218,0,0,0,0,0,1,0,0,Missed,Missed,Missed,Missed,Missed,5,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Campbell,2026,10.836,10.836,,,,,0.5,0.469,0.438,0.471,0.552,0.63,0,2,4,2,0,0.512,0,0,0,0,0,0,0,3,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canisius,2026,7.699,7.699,,,,,0.5,0.097,0.438,0.333,0.344,0.538,0,1,1,1,0,0.35,0,0,0,0,0,0,1,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Arkansas,2026,7.332,7.332,,,,,0.2,0.273,0.281,0.29,0.355,0.208,0,0,0,0,0,0.2814,0,0,0,0,0,1,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Connecticut,2026,18.864,18.864,,,,,0.6,0.781,0.645,0.313,0.25,0.238,2,2,4,2,0,0.4454,0,0,0,0,0,2,1,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0
Central Michigan,2026,6.391,6.391,,,,,0.4,0.452,0.563,0.323,0.233,0.304,0,1,1,1,0,0.375,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,2026,38.671,38.671,,,,,0.5,0.727,0.771,0.886,0.531,0.474,4,4,16,4,0,0.6778,0,1,1,0,0,1,3,3,Missed,Thirteen Seed,Twelve Seed,Missed,Missed,0,-2,9.5,9.5,-2,-2,2,4,0,2,0,1.4142135623731,0,0,0,0,2,0,0,0,0,3,2,1
