,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Caleb Walker,Air Force,HOME,Austin Peay,ASUN,0,0,Starter,1,10,0,0,0,0,0,2,0,3,0,0,3,0,0,0,16.897,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,1.5,0,0,"1,374",0,TRUE,1,10,0,0,0,0,0,2,0,3,0,0,3,0,0,Caleb Walker
,Caleb Walker,Air Force,HOME,LIU,NEC,0,0,Starter,1,20,0,1,0,0,1,2,0,1,0,0,1,1,1,0,9.752,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,4.5,1,0,"1,089",0,TRUE,1,20,0,1,0,0,1,2,0,1,0,0,1,1,1,Caleb Walker
,Caleb Walker,Air Force,HOME,Alabama St.,SWAC,0,0,Bench,0,32,6,6,0,0,5,10,3,9,1,1,2,0,17,0,28.14,0,5.743,2,1,0,0,1,0,0,1,1,0,0,0,1,0,2,-1.5,1,0,"1,025",0,TRUE,0,32,6,6,0,0,5,10,3,9,1,1,2,0,17,Caleb Walker
,Caleb Walker,Air Force,HOME,Miami OH,MAC,0,0,Bench,0,25,6,8,0,0,5,12,0,5,1,1,2,3,17,0,15.433,0,5.743,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-15,9.5,0,0,"1,117",0,TRUE,0,25,6,8,0,0,5,12,0,5,1,1,2,3,17,Caleb Walker
,Caleb Walker,Air Force,HOME,SIU Edwardsville,Ohio Valley,0,0,Bench,0,23,5,8,0,0,6,7,3,3,2,0,1,0,16,0,26.408,0,5.743,1,0,0,0,0,0,0,0,1,0,0,0,1,0,14,2.5,0,0,"1,305",0,TRUE,0,23,5,8,0,0,6,7,3,3,2,0,1,0,16,Caleb Walker
,Caleb Walker,Air Force,HOME,IU Indy,Horizon,0,0,Bench,0,29,10,12,0,0,1,2,1,5,0,1,1,3,21,0,2.264,0,5.743,1,0,0,0,0,0,0,0,0,0,0,0,1,1,13,-3.5,0,0,"1,099",0,TRUE,0,29,10,12,0,0,1,2,1,5,0,1,1,3,21,Caleb Walker
,Eli Robinson,Air Force,AWAY,Belmont,Missouri Valley,0,0,Starter,1,32,5,6,0,0,1,2,0,7,1,1,2,4,11,0,21.527,0,5.743,1,0,0,0,0,0,0,1,0,0,0,1,1,0,-16,14.5,0,0,"1,715",0,TRUE,1,32,5,6,0,0,1,2,0,7,1,1,2,4,11,Eli Robinson
,Eli Robinson,Air Force,HOME,Austin Peay,ASUN,0,0,Starter,1,33,3,6,0,2,3,4,4,6,2,4,3,3,9,0,16.897,0,5.743,1,0,0,0,0,0,0,1,1,1,0,0,1,0,-20,1.5,0,0,"1,374",0,TRUE,1,33,3,6,0,2,3,4,4,6,2,4,3,3,9,Eli Robinson
,Eli Robinson,Air Force,HOME,Alabama St.,SWAC,0,0,Starter,1,24,2,4,1,1,0,0,0,1,3,1,3,2,5,0,28.14,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-1.5,1,0,"1,025",0,TRUE,1,24,2,4,1,1,0,0,0,1,3,1,3,2,5,Eli Robinson
,Eli Robinson,Air Force,HOME,LIU,NEC,0,0,Starter,1,38,6,10,1,1,3,4,1,3,2,2,1,3,16,0,9.752,0,5.743,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,4.5,1,0,"1,089",0,TRUE,1,38,6,10,1,1,3,4,1,3,2,2,1,3,16,Eli Robinson
