,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Columbia,,,46.03484293624,-10.5448144959822,122.524675380159,45.3555614706532,337.826730120569
Connecticut,,,-3.11214158138333,-25.4915257041733,92.4435498756487,43.3521779049598,39.7228467390241
Coppin St.,,,21.6073574966189,-8.60508560959778,48.895804255006,21.8289188348013,174.211934522896
Cornell,,,-3.370260336324,-17.9630847382836,35.2250389923987,21.5991573367052,8.2147073332451
Creighton,,,2.91156113672521,-31.8083880223168,14.6324454519352,19.9821149111584,-29.446010044261
Dartmouth,,,-10.7300521060051,-31.8336575668731,-8.73529585874511,12.7989291839427,-51.2990055316233
Davidson,,,33.197737282616,-21.715332963368,50.751993311542,29.6962653896962,112.534507704054
Dayton,,,-5.16628382989775,-32.031610355814,66.56035181188,40.3162473838574,32.8410190577734
Delaware,,,19.1602194627107,-8.72011457444356,83.7506503372004,36.8090570325339,130.712346300094
Delaware St.,,,-1.05499294227,-11.10325364832,14.351619446314,11.1360181885359,12.3617660178204
Denver,,,42.21337881024,-79.875405619174,95.02732406024,59.7268619101802,183.836233016852
DePaul,,,-6.60195506217405,-75.5132470994527,19.6889929200679,36.336957834231,-81.7977565152666
Detroit Mercy,,,2.78214128242522,-31.0794286636591,47.08443200526,30.5372099752517,22.0094078174506
Drake,,,-15.3028575732358,-24.0900006779141,68.6020581853739,43.8516790248719,13.9063423609883
Drexel,,,-0.827633290875995,-27.2163367450754,66.3221382549246,30.8229768808782,26.5143446549344
Duke,,,2.13891534266724,-50.569612696598,210.58364127551,81.2646813550093,182.323558362017
Duquesne,,,0.593428458614,-21.74423879153,9.38818009735889,11.817760067762,-15.2712035063027
East Carolina,,,-4.784625018649,-38.152439342062,24.1717947451307,23.9417882611383,-41.7507330093026
East Tennessee St.,,,12.536274271914,-19.058098999524,70.6889040315811,33.6219200322419,86.7422004546484
East Texas A&M,,,0.738969039856,-3.756330319368,21.1266043969333,13.2603659569781,18.1092431174213
Eastern Illinois,,,20.523066640758,-10.0566220018447,27.365566664822,14.6045667835348,75.0118460245357
Eastern Kentucky,,,2.711817412072,-28.92572609412,26.313050233254,20.314687894176,11.967099511116
Eastern Michigan,,,29.8954927955884,-30.3272268574784,170.743651445672,62.1689208785369,305.18413603615
Eastern Washington,,,26.3282845262465,-73.1170302462649,139.614508691543,72.2873185411661,159.265704553597
Elon,,,21.6528727079787,-12.1776591809102,238.066084374645,102.180708566196,286.206531249552
Evansville,,,-12.6808357182481,-48.316660698662,38.73274901185,31.8224326587143,-35.1234425273662
Fairfield,,,4.98152465722533,-29.178150082798,44.9955968007471,27.1530858591212,89.8899177653148
Fairleigh Dickinson,,,-3.52276432985067,-26.2671866467989,31.475442190056,19.6421683458396,-8.89602992352223
FIU,,,16.0960491781962,-21.25120393696,36.12622200788,24.7423635318952,47.0671164273123
Florida,,,-18.4061707470467,-28.6146023580827,17.5063053231424,16.4463560872984,-82.6668824293551
Florida A&M,,,1.90109479392,-20.95997534608,65.88454829392,37.390687521845,48.72676253568
Florida Atlantic,,,31.005577105455,4.305967916872,55.37488673233,20.3389037766471,186.936182268292
Florida Gulf Coast,,,11.880404000714,-17.1466839498648,92.7267758310486,43.1290056923393,154.231767872149
Florida St.,,,11.05463481626,-21.0049126211038,90.50648547726,49.1093944119001,174.922177193196
Fordham,,,-2.42359254304135,-57.82271852521,42.061856401594,42.5336608538293,-20.6080472096987
Fresno St.,,,27.791600604468,-29.174173517142,52.5719155448004,26.1979091421681,133.359455623622
Furman,,,2.81889259682756,-36.0847210145884,32.5623080292476,24.7582866597404,10.0211709940459
Gardner Webb,,,11.466965622011,-22.948470468134,21.538502864396,16.2048887155808,42.2775769218887
George Mason,,,25.3027435625339,-13.9828909493333,48.4292529944327,22.8435189789212,113.771316658465
George Washington,,,18.0851682622864,-25.05951809798,77.27160214024,33.2837380574999,128.572761886463
Georgetown,,,-27.6796087831636,-39.6405122261421,76.9094985775519,50.5287077649437,16.289082777642
Georgia,,,22.5548851721141,-36.6871573519499,108.157105696178,52.2349617273658,230.813439436874
Georgia Southern,,,-0.812478768275557,-42.3208055836598,36.9144879178733,27.3992666960342,-2.74043524835076
Georgia St.,,,-16.0354583595513,-71.24112632941,94.30025431232,50.9981400926495,-19.6269577226062
Georgia Tech,,,-21.075189105528,-52.622779692628,34.943717913422,31.2204245942127,-113.8182271535
Gonzaga,,,41.2906221441396,-181.146762317287,144.752842803261,97.7112788862184,225.587689877839
Grambling St.,,,15.1143335582169,-10.00205030447,36.24922926343,15.4386806563848,85.2806043730731
Grand Canyon,,,11.7481275896383,-55.5772806144257,30.9973473510752,27.6666885474018,8.56716892268741
Green Bay,,,42.5529936653609,4.7331217825,93.9560882209164,32.2641653142244,262.508335701787
Hampton,,,8.745821893984,-1.67299054542245,38.4200451358667,13.4245399777889,91.2108769902523
Harvard,,,21.1592534227172,-45.8657476883939,65.8024613116061,42.3110230361346,98.4795015028795
Hawaii,,,8.62238200615991,-15.1413238983942,45.3479951210578,25.4654888532045,76.8151615382985
High Point,,,2.97505454831134,-34.242386325384,78.622146987754,42.5066637127164,94.0930489113931
Hofstra,,,7.08477061342735,-9.37454040071,19.27251401018,13.0716407178952,24.0675148363247
Holy Cross,,,31.5176177691083,-22.4557234397957,64.1195586997703,27.8913461296556,147.601772309958
Houston,,,-4.12900629227398,-32.0605018688741,9.06037982720699,13.0335890357307,-54.660210656635
Houston Christian,,,-12.2081445711011,-13.5941925561107,27.6563724297473,20.1745616029846,-10.3541092685656
Howard,,,6.93934047360756,-16.077991429852,70.666899064006,30.2670361600535,72.3788812938791
Idaho,,,18.4357616242173,-3.39853768550867,45.017515014652,24.5840927980102,78.490500577578
Idaho St.,,,35.143394408276,10.166839685728,47.711710402568,16.284950424415,161.561468087621
Illinois,,,-5.42548524747331,-43.1314329297595,106.350260740369,49.593799697791,71.0745539165867
Illinois Chicago,,,4.19038167297767,-13.8603475956,25.1573824456193,15.3739939782544,38.1737041451806
Illinois St.,,,4.38930325364,-9.50350702188533,187.387903109972,76.2531965170538,198.748953783756
Incarnate Word,,,6.75868416817647,-26.9471946651667,105.374648566333,57.6953322368261,91.9448222375192
Indiana,,,21.4419914098987,-38.5294579085713,82.179951604747,43.1138713792986,93.1253636350331
Indiana St.,,,16.366583713792,-17.053501586454,53.026029200464,26.3444549765808,84.9985684916306
Iona,,,34.93223739,-23.8586471780988,51.28556311,26.9590850424937,143.774138737679
Iowa,,,14.5616386454467,-35.481185276082,22.816606630174,22.995676795707,18.4160491026425
Iowa St.,,,11.7107717169805,-18.9389541734535,78.9687025339054,34.5659193288724,160.746941612714
IU Indy,,,-15.9366018777761,-45.6743650644444,88.52221574,49.4433550143849,-3.7441743474325
Jackson St.,,,-16.4651558725467,-49.6429675328447,44.0479046846213,32.7547820652912,-84.7919642812422
Jacksonville,,,13.476137382375,-3.81643257025444,32.98544052372,12.0421240649932,79.1965510973716
Jacksonville St.,,,-2.1401349770161,-16.5544475775175,0.316399293890241,7.71575697202007,-20.5183182376594
James Madison,,,-6.12633754985422,-18.0939000058053,44.605791796318,24.7401577725453,54.32847725177
Kansas,,,24.6944702517005,-13.9957257184489,69.0469068133968,26.0934697598479,172.46092550271
Kansas St.,,,-6.47253392154,-18.114466220102,101.189287530133,41.2335176550897,100.089820143346
Kennesaw St.,,,2.87696705324645,-32.531872478641,27.6300360252041,22.7607307403118,10.5379993556033
Kent St.,,,9.0830665675461,-18.3341850653079,26.8972523634821,15.1737319009626,41.1151603358975
Kentucky,,,5.07272072882506,-50.7341327156194,45.1067336038326,30.205852764108,25.1158092983518
La Salle,,,13.11690874229,-19.855554176906,28.727820341742,20.3116650013009,43.1345338654127
Lafayette,,,6.855591004204,-31.2299458297309,34.561573487058,30.6140483271423,4.4786086748524
Lamar,,,19.851274601686,-18.1854596147695,50.0618263478867,29.789191631063,71.5789159364892
Le Moyne,,,15.9651166569609,-8.743346828824,98.85966462798,43.1261858719539,125.207428481835
Lehigh,,,18.9513230958013,-16.4912398386507,109.331480514431,44.8203824590416,168.956136444033
Liberty,,,6.77089215742649,-21.3339083992534,48.1362692979745,26.8807757210854,46.3616719109017
Lindenwood,,,0.196828090895445,-9.985447254314,77.596211489074,32.7324540531855,85.2755475146967
Lipscomb,,,25.00028959144,-7.00255330956,170.598751261026,66.2154852644422,256.021789677226
Little Rock,,,2.83593310878,-33.6611637148349,16.25238471273,20.5815670921564,-18.1913068636322
LIU,,,7.494801805214,-14.31581511055,68.094103633706,28.2393451925902,122.291674471046
Long Beach St.,,,2.49367805526978,-10.816326039198,39.441373401968,19.6368551649889,55.1449230131033
Longwood,,,-20.8038223214949,-41.35275711202,25.0352161202022,27.7475219458494,-48.1508303613527
Louisiana,,,3.722979078854,-5.31869250056,13.52024298944,6.5548822642163,33.2591284047467
Louisiana Monroe,,,-1.99593447166925,-39.7964135841926,101.988061402725,49.3760466688875,55.3154416766483
Louisiana Tech,,,2.96452971122911,-15.170090222508,9.008761277264,10.4817887012533,-0.23226952278578
Louisville,,,8.98218157243708,-29.7187537148229,68.9901879674831,31.7292091945182,70.4673438209309
Loyola Chicago,,,-17.4692466064112,-82.690457037514,12.885079894672,37.0499788729962,-201.971110967396
Loyola Marymount,,,21.6770034787528,-8.72167268808133,38.6938481969853,19.1566921482495,115.094677809938
Loyola MD,,,20.5482261767962,-15.7401877480834,29.2168149185832,18.4007300230833,71.9193596239322
LSU,,,11.9824928894177,-44.8625425112443,60.1961886884073,44.3882516418035,65.3854799173801
Maine,,,5.452817440048,-6.64221335202178,52.286473837856,20.97231917487,69.9667600612164
Manhattan,,,-6.91540939808829,-24.7293531912663,26.9066442475237,21.8678587805668,-15.5043442048718
Marist,,,30.0984892972743,-13.0803745606861,91.0400764713383,43.3015118271913,137.490182778184
Marquette,,,-16.8357938311156,-27.835673164449,30.9972926133288,20.4957173929857,-82.7397233484477
Marshall,,,4.745538958952,-67.0391166589667,41.620309021242,35.7777659540056,-0.1953204563047
Maryland,,,-14.7845406875686,-28.0813966122654,72.3198575796159,34.2667433631373,-20.0447434298597
