,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line)^2,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Potential Game Coding Next Season,Personal Score Thought,"THINK ABOUT ON THE ROAD FAVORITES, within 10 line, 20+ line, power conference vs power conference, actually name the conference for opponent, road x conference, add attendance back,  ranked opponents, top 5, top 10, (sm+line+10)^2 vs ranked, lead/deficit both within 15, both l/d between 7-15, wins by top 25 opponent, actively in bracketology?, power non conference road game, add opponent coach rating",SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Team:,,,,,,,,,,,,,,,Average:,Average:,,,,,,,Average:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median:,Minimum:,Maximum:,STDEV:,Sum:
,Bowling Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bradley,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.6671149014553,-18.6671149014553,-18.6671149014553,–,-18.6671149014553
,Bradley,NEUTRAL,Missouri Valley,St. Bonaventure,A10,"November 3, 2025","Rock Hill, SC",749,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-6,-1.5,-56.25,6.25,0,6,13,78,1,0,0,0,0,0,0,1,0,0,1,0,139.5,132,0,31.8097098544667,40.224,1,312,21312,35,,-18.6671149014553,-18.6671149014553,-18.6671149014553,-18.6671149014553,-18.6671149014553
Brown,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bryant,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bucknell,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Bucknell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Buffalo,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.652539636674,3.652539636674,3.652539636674,–,3.652539636674
,Buffalo,HOME,MAC,Southern Miss,Sun Belt,"November 3, 2025","Buffalo, NY",1631,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-3.5,6.25,156.25,1,6,15,90,0,0,0,1,0,0,0,1,0,0,1,0,153.5,164,0,13.7694636674,7.081,1,112,21112,60,,3.652539636674,3.652539636674,3.652539636674,3.652539636674,3.652539636674
Butler,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BYU,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.09121425084933,-5.09121425084933,-5.09121425084933,–,-5.09121425084933
,BYU,NEUTRAL,Big 12,Villanova,Big East,"November 3, 2025","Las Vegas, NV",16704,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-9.5,-20.25,30.25,0,14,2,28,0,0,0,1,0,0,0,0,0,0,1,0,153.5,137,0,58.7605749150667,47.854,1,311,21311,50,,-5.09121425084933,-5.09121425084933,-5.09121425084933,-5.09121425084933,-5.09121425084933
Cal Baptist,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.888122942024,-8.888122942024,-8.888122942024,–,-8.888122942024
,Cal Baptist,HOME,WAC,USC Upstate,Big South,"November 3, 2025","Riverside, CA",4386,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,-14.5,-6.25,56.25,0,19,2,38,0,0,0,0,0,0,0,0,0,0,0,0,152.5,162,0,36.7998057976,16.932,1,112,21112,20,,-8.888122942024,-8.888122942024,-8.888122942024,-8.888122942024,-8.888122942024
Cal Poly,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
