,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubén Dominguez,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Starter,1,27,7,13,7,12,0,0,1,3,1,0,1,3,21,0,6.403,0,45.993,1,0,0,0,0,0,1,0,0,0,0,0,1,1,36,1.5,0,0,"4,598",0
Marcus Hill,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Starter,1,22,3,8,1,3,0,0,1,2,5,3,1,0,7,0,6.403,0,45.993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1.5,0,0,"4,598",0
Jacari Lane,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Starter,1,23,2,7,2,5,0,0,1,2,3,2,4,2,6,0,6.403,0,45.993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1.5,0,0,"4,598",0
Federiko Federiko,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Bench,0,5,1,1,0,0,0,0,0,0,0,1,0,0,2,0,6.403,0,45.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.5,0,0,"4,598",0
Jamie Vinson,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Bench,0,11,1,2,0,0,2,3,1,4,1,0,0,1,4,0,6.403,0,45.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.5,0,0,"4,598",0
Zach Clemence,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Bench,0,19,0,1,0,0,0,0,1,7,1,0,0,1,0,0,6.403,0,45.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.5,0,0,"4,598",0
Josh Holloway,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Bench,0,13,3,3,0,0,2,2,2,1,3,2,2,1,8,0,6.403,0,45.993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,1.5,0,0,"4,598",0
Pop Isaacs,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Bench,0,21,4,9,3,6,4,4,1,2,3,1,2,2,15,0,6.403,0,45.993,1,0,0,0,0,1,0,0,0,0,0,0,1,0,36,1.5,0,0,"4,598",0
Ali Dibba,Texas A&M,NEUTRAL,Florida St.,ACC,1,0,Bench,0,15,2,5,0,0,1,2,1,1,1,3,1,1,5,0,6.403,0,45.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.5,0,0,"4,598",0
Alex Steen,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Starter,1,16,0,1,0,0,2,4,5,2,1,2,2,3,2,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,-1.5,0,0,"4,598",0
Chauncey Wiggins,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Starter,1,24,3,14,1,6,0,0,2,3,0,0,1,0,7,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-36,-1.5,0,0,"4,598",0
Lajae Jones,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Starter,1,25,1,8,1,6,0,0,1,4,0,0,2,2,3,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-36,-1.5,0,0,"4,598",0
Kobe MaGee,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Starter,1,25,7,15,4,10,3,4,3,0,0,1,0,1,21,0,45.993,0,6.403,1,0,0,0,0,0,1,0,0,0,0,0,1,1,-36,-1.5,0,0,"4,598",0
Robert McCray V,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Starter,1,28,1,10,0,4,0,0,1,2,11,1,4,3,2,0,45.993,0,6.403,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-36,-1.5,0,0,"4,598",0
Thomas Bassong,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Bench,0,11,0,4,0,1,1,4,0,1,0,0,1,1,1,0,45.993,0,6.403,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-36,-1.5,0,0,"4,598",0
Shah Muhammad,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Bench,0,13,1,1,0,0,1,3,1,3,0,0,0,0,3,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,-1.5,0,0,"4,598",0
AJ Swinton,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Bench,0,12,2,3,0,1,0,0,0,0,1,0,0,3,4,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,-1.5,0,0,"4,598",0
Cam Miles,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Bench,0,22,3,10,0,6,1,2,1,0,0,2,4,2,7,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-36,-1.5,0,0,"4,598",0
Martin Somerville,Florida St.,NEUTRAL,Texas A&M,SEC,1,0,Bench,0,22,3,6,3,6,0,0,1,4,0,5,1,3,9,0,45.993,0,6.403,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-36,-1.5,0,0,"4,598",0
Sheldon Williams,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Starter,1,21,4,6,0,1,1,4,0,1,1,1,3,3,9,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-21,16.5,0,0,"9,314",0
Franck Yetna,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Starter,1,16,2,6,0,1,0,0,1,3,2,0,0,1,4,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,16.5,0,0,"9,314",0
Nick Shogbonyo,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Starter,1,30,4,11,1,3,0,1,0,9,2,1,1,1,9,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-21,16.5,0,0,"9,314",0
Kam Parker,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Starter,1,20,0,9,0,4,2,2,0,4,3,0,0,2,2,0,46.89,0,30.05,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-21,16.5,0,0,"9,314",0
D’Avian Houston,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Starter,1,21,4,8,1,2,4,6,1,2,3,0,3,4,13,0,46.89,0,30.05,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-21,16.5,0,0,"9,314",0
Cenker Evran,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Bench,0,20,2,4,0,0,0,0,3,2,3,0,0,0,4,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-21,16.5,0,0,"9,314",0
Jaden Haire,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Bench,0,12,3,6,0,0,1,3,1,2,0,0,0,2,7,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,16.5,0,0,"9,314",0
Kobi Pearson,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Bench,0,12,1,2,0,1,0,0,0,2,1,0,0,0,2,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,16.5,0,0,"9,314",0
Cedric Horton,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Bench,0,15,3,6,1,2,0,0,0,1,1,0,1,1,7,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,16.5,0,0,"9,314",0
Bryson Wheatfall,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Bench,0,16,2,6,0,0,2,2,0,1,1,0,0,3,6,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,16.5,0,0,"9,314",0
Leo Torbor,Texas A&M Corpus Chris,AWAY,Xavier,Big East,0,0,Bench,0,12,0,2,0,0,1,2,2,2,2,1,2,2,1,0,46.89,0,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,16.5,0,0,"9,314",0
Filip Borovicanin,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Starter,1,27,3,5,1,2,3,3,1,14,5,2,1,1,10,0,30.05,0,46.89,2,1,0,0,0,1,0,1,0,1,1,0,1,0,21,-16.5,0,0,"9,314",0
Jovan Milicevic,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Starter,1,17,5,11,4,8,0,1,0,3,1,0,0,4,14,0,30.05,0,46.89,1,0,0,0,0,0,1,0,0,0,0,1,0,0,21,-16.5,0,0,"9,314",0
Tre Carroll,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Starter,1,27,5,15,1,4,0,0,0,3,4,1,0,1,11,0,30.05,0,46.89,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,-16.5,0,0,"9,314",0
All Wright,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Starter,1,26,3,6,1,4,2,2,0,3,3,0,0,0,9,0,30.05,0,46.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,-16.5,0,0,"9,314",0
