Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Little Rock,,266,607,67,183,103,170,10.3636363636364,20.0909090909091,12.0909090909091,15.9090909090909,7.72727272727273,16.1818181818182,13.3636363636364,11.6363636363636,31.6363636363636,63.8181818181818,79.6363636363636,8,5,314,627,113,281,11,23.9090909090909,16.6363636363636,12.8181818181818,15.1818181818182,19.2727272727273,16.8181818181818,33.2727272727273
LIU,,370,774,81,222,175,273,12.2307692307692,22.4615384615385,13.6153846153846,14.9230769230769,8.61538461538462,18.9230769230769,15.8461538461538,14.4615384615385,38,76.6153846153846,81.2307692307692,8,5,382,807,91,271,13.7692307692308,22.7692307692308,14.3846153846154,13.6153846153846,17.7692307692308,18.3076923076923,11.6923076923077,41.3846153846154
Long Beach St.,,317,729,81,266,134,191,10.75,20.5833333333333,11.8333333333333,12.25,6.58333333333333,20,14.5833333333333,5.83333333333333,33,70.75,81.25,8,5,335,651,93,242,8.41666666666667,25.5833333333333,14.8333333333333,13.25,16.0833333333333,16.1666666666667,9.08333333333333,37
Longwood,,282,674,66,247,250,325,12,23.8333333333333,12.4166666666667,14.0833333333333,8,20.0833333333333,14.5833333333333,8.91666666666667,31.5,73.3333333333333,78.0833333333333,7,7,319,669,101,292,9.16666666666667,24.0833333333333,14.5833333333333,14,21.5,15.25,11,32.5
Louisiana,,287,742,94,308,143,214,9,22.5,9.64285714285714,12.5714285714286,5.28571428571429,20.7857142857143,11.9285714285714,5.5,21.4285714285714,57.9285714285714,68.5714285714286,3,11,302,705,91,272,9.85714285714286,25,11.5714285714286,10.7142857142857,15.2857142857143,15.0714285714286,8.64285714285714,27
Louisiana Monroe,,290,691,105,301,184,258,8.75,23.0833333333333,13.4166666666667,13.6666666666667,6.16666666666667,13.9166666666667,13.1666666666667,7.75,26.3333333333333,72.4166666666667,86.4166666666667,3,11,390,782,114,312,12.1666666666667,27.75,19.75,11.0833333333333,18.1666666666667,17.0833333333333,13.75,40.8333333333333
Louisiana Tech,,217,523,45,170,110,172,13.7777777777778,25.4444444444444,10.7777777777778,11.7777777777778,5.66666666666667,15.5555555555556,11.2222222222222,6.66666666666667,32.6666666666667,65.4444444444444,62.6666666666667,8,5,191,494,62,237,11.2222222222222,23.8888888888889,11.2222222222222,11.7777777777778,16.7777777777778,12,7,24.2222222222222
Louisville,,360,758,151,420,228,298,12.75,29.25,19.0833333333333,11.5833333333333,8.25,18.9166666666667,17.4166666666667,7.83333333333333,34.5,91.5833333333333,68.1666666666667,8,5,281,728,85,282,10.5833333333333,23.25,11.0833333333333,14.0833333333333,19.6666666666667,11.9166666666667,5.33333333333333,29.1666666666667
Loyola Chicago,,295,700,110,342,202,288,11,22.5384615384615,13.3076923076923,11.6153846153846,3.38461538461538,17,9,7.46153846153846,26.6153846153846,69.3846153846154,76.7692307692308,8,5,334,763,126,331,11.4615384615385,23,15.7692307692308,8.07692307692308,18.4615384615385,14.4615384615385,9.46153846153846,26.1538461538462
Loyola Marymount,,348,763,125,340,143,229,10.4615384615385,25.1538461538462,14.5384615384615,12.6153846153846,6.61538461538462,17.6153846153846,12.9230769230769,9,30.9230769230769,74.1538461538462,67.9230769230769,8,5,312,774,85,269,12.3076923076923,23.9230769230769,12.3076923076923,12.6923076923077,17,12.3846153846154,5.84615384615385,30
Loyola MD,,278,640,92,295,140,212,9.90909090909091,21.1818181818182,13.0909090909091,12.5454545454545,6.63636363636364,17.2727272727273,13.1818181818182,8.36363636363636,29.8181818181818,71.6363636363636,81,8,5,318,643,79,232,11.4545454545455,25.6363636363636,15.1818181818182,11.7272727272727,16.7272727272727,14.5454545454545,13.8181818181818,36.5454545454545
LSU,,395,770,91,274,276,354,10.9230769230769,29.1538461538462,15.9230769230769,10.4615384615385,6.07692307692308,17.6153846153846,14.3846153846154,12.7692307692308,42.7692307692308,89,71,8,5,323,801,105,312,11.3846153846154,20.6923076923077,11,10.8461538461538,20.6153846153846,12.3076923076923,7.15384615384615,26.4615384615385
Maine,,299,690,75,243,144,234,7.85714285714286,20.2857142857143,10.3571428571429,15,7.85714285714286,17.4285714285714,12.5,7.5,27,58.3571428571429,70.5714285714286,8,5,354,784,95,304,12.6428571428571,24.2142857142857,13.9285714285714,12.9285714285714,16,17.3571428571429,9.28571428571429,32.2857142857143
Manhattan,,300,706,90,262,207,272,10.3333333333333,21.4166666666667,12.4166666666667,11.5,8.5,14.4166666666667,13,9.5,30.5,74.75,84.6666666666667,8,5,386,803,111,292,15,26.3333333333333,18.4166666666667,12.25,19.6666666666667,13.5833333333333,12.3333333333333,40.3333333333333
Marist,,234,519,65,192,104,136,9.44444444444444,25.6666666666667,15,12.3333333333333,8.77777777777778,17.2222222222222,17.4444444444444,10.3333333333333,27.7777777777778,70.7777777777778,62.8888888888889,8,5,189,481,56,200,9.88888888888889,23.7777777777778,10.7777777777778,14.6666666666667,15.5555555555556,11.8888888888889,4.11111111111111,24
Marquette,,342,831,107,349,209,296,13,24,15.0769230769231,11.1538461538462,9.30769230769231,17.3846153846154,15.6923076923077,17.6153846153846,34.7692307692308,76.9230769230769,77.3076923076923,8,5,353,782,104,301,10.4615384615385,27.4615384615385,16.1538461538462,14.5384615384615,18.8461538461538,11,9.30769230769231,32.9230769230769
Marshall,,331,727,116,335,159,210,11.5833333333333,27.5,16.5833333333333,13.75,5.41666666666667,20.1666666666667,13.9166666666667,12.0833333333333,29,78.0833333333333,76.75,8,5,307,741,96,290,13,23.4166666666667,13.0833333333333,11.5,16.9166666666667,15.3333333333333,9.75,29.6666666666667
Maryland,,310,751,113,329,266,353,12.7692307692308,24.0769230769231,11.3846153846154,13.6923076923077,5.84615384615385,17.3076923076923,15.2307692307692,7.38461538461538,25.5384615384615,76.8461538461538,78.7692307692308,7,6,363,788,123,327,11,25,17.0769230769231,13.6153846153846,21.1538461538462,16.3076923076923,12.9230769230769,33.3846153846154
Maryland Eastern Shore,,345,824,78,285,122,188,10.1333333333333,22.2666666666667,13.3333333333333,15.6,5.06666666666667,18.8666666666667,9.73333333333333,4.86666666666667,26.9333333333333,59.3333333333333,75.8,8,5,380,852,121,365,11.8,23.9333333333333,14.6,10.2666666666667,15.6666666666667,17.0666666666667,11.5333333333333,31.6
